132	45.16	489	73.99
133	47.67	489	74.94
134	48.71	501.1	77.06
135	50.46	523.6	78.47
136	54.24	530.6	78.95
137	54.39	538.1	79.85
138	55.06	551.3	81.8
139	59.52	566.4	92.65
140	61.76	588.4	95.53
141	62.34	591.2	98.33
142	63.4	617	99.7
143	65.15	625.2	101.7
144	66.75	634.3	103.4
145	68.29	619.3	108
146	68.82	617.7	108.4
147	68.92	633.3	115.2
148	73.61	637.1	120
149	73.85	655.2	122.5
150	73.28	664.6	122
151	75.54	673.5	123.7
152	76.83	679.3	126.6
153	76.5	692.2	132.9
154	82.68	708.3	136
155	89.83	702.3	139.1
156	93.05	714	142
157	90.4	720.6	145.2
158	87.65	731.1	147
159	96.33	754.9	150.3
160	97.45	766.7	151.9
161	97.83	769	153.2
162	99.6	777.9	155.3
163	100.6	785.2	157.1
164	103.2	792	160.6
165	106.5	802.4	161.6
166	108.5	816.2	166.1
167	112.4	816.8	170.2
168	111	826.7	171.2
169	116.1	826.6	171.8
170	115	834.5	173.8
171	116.3	845.8	174.4
172	126.2	861.3	178.3
173	127.5	876.8	179.7
174	125.6	883.5	177.3
175	130.1	891.3	182.4
176	133.4	904	185
177	135.8	924.5	188.4
178	136.6	919.8	189.9
179	139.3	933	191.9
180	135.1	917	193.8
181	139.7	914.5	194.6
182	145.4	904	195.8
183	152.8	908.3	198.1
184	157.7	988.8	201.9
185	144.1	1001	200.9
186	161.7	1006	203.4
187	156.5	1009	201.2
188	149.4	1007	202
189	158.1	1018	198.9
190	132	1015	202.7
191	134.7	1006	205.1
192	157	1019	206.7
193	164.8	1005	206.4
194	166.6	1006	205.9
195	163.4	1005	206
196	150.8	1018	207.4
197	168.7	1043	204
198	165.4	1053	201.2
199	169.1	1067	203.1
200	173.7	1081	226.4
201	176	1117	232.5
202	180.5	1123	220.2
203	185.6	1122	220.6
204	186.3	1136	223.6
205	190.8	1148	228.2
206	196.2	1164	230.7
207	197.4	1183	226.9
208	202.2	1179	232.1
209	203.5	1187	236.7
210	209.4	1199	238.4
211	211.9	1206	239.3
212	213.3	1224	241.3
213	217.7	1239	239.9
214	222.3	1251	239.9
215	225.7	1262	242.3
216	225.1	1272	243.4
217	230.3	1302	239.2
218	233.8	1310	237.7
219	236.9	1322	243.9
220	237.3	1339	247.2
221	243.5	1353	246.2
222	243.5	1362	246.3
223	241.9	1365	250.7
224	249.6	1387	253.1
225	254.8	1378	253.6
226	248.8	1377	263.2
227	253.4	1384	260.8
228	254.1	1429	271.5
229	256.6	1430	253.3
230	255.4	1445	256.1
231	263.9	1447	260.3
232	263.1	1436	260.7
233	267.9	1431	266.1
234	254.2	1427	268.8
235	266.2	1407	266.5
236	254.8	1414	265
237	263.7	1437	267.8
238	260.5	1445	266.8
239	234.6	1438	270.7
240	302.4	1433	275.5
241	306.3	1462	274.3
242	297.9	1476	272.9
243	300.8	1488	277.2
244	305.5	1407	272.1
245	305.5	1390	280.6
246	301.1	1407	278
247	308.1	1351	277
248	318.7	1357	279
249	317.3	1389	283.1
250	327.1	1401	283.5
251	328	1420	286.9
252	328.6	1413	286
253	319.1	1391	289.8
254	330.4	1425	288.9
255	325.1	1425	287.3
